en,en
"Measure","Measure"
"Disability-Adjusted Life Years","Disability-Adjusted Life Years"
"Disability-Adjusted Life Years (DALYs)","Disability-Adjusted Life Years (DALYs)"
"Years Lived with Disability (YLDs)","Years Lived with Disability (YLDs)"
"Years of Life Lost (YLLs)","Years of Life Lost (YLLs)"
"Prevalent cases","Prevalent cases"
"Deaths","Deaths"
"Year","Year"
"Sex","Sex"
"Location","Location"
"Age","Age"
"Both sexes","Both sexes"
"Men","Men"
"Women","Women"
"Belgium","Belgium"
"Brussels Capital Region","Brussels Capital Region"
"Flemish Region","Flemish Region"
"Walloon Region","Walloon Region"
"Info","Info"
"Chart settings","Chart settings"
"Download","Download"